fact_kind,name,address,json_path,purpose,targets,value,retrieval_store,retrieval_action
file,filter10.html,Website/lab/filter10.html,DeploymentTargetRecord[0].files[13],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=a44aab8a17250b75a16e620e482cf422d816a3f4e72870d44066cd5da4019757,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter2.html,Website/lab/filter2.html,DeploymentTargetRecord[0].files[14],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=e4dc9b9310236fdc60add74193e7138383d578ed9206f28ab5919bfd4682270d,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter3.html,Website/lab/filter3.html,DeploymentTargetRecord[0].files[15],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=543e9168939d2b1e8d35968a28f4ace141e4cea95c5e70931adbf6be6a8fe9da,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter4.html,Website/lab/filter4.html,DeploymentTargetRecord[0].files[16],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=b84cdef10842a0b688f7f6c47ba1bff7ce79cb4b0eaf50503bd5d7da35e2721f,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter5.html,Website/lab/filter5.html,DeploymentTargetRecord[0].files[17],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=519270be26af789288567d654c5d540d33e682b86173c467b0270b0810a15d72,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter6.html,Website/lab/filter6.html,DeploymentTargetRecord[0].files[18],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=8aee9ba0314252eb1dbe282b508ebf1df5da05a3667df8c6f9e89b4890f55466,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter7.html,Website/lab/filter7.html,DeploymentTargetRecord[0].files[19],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=cb1fd7df0fdca92241a50b6e280f4fbd14cbbc0a764113dc3936b99fe40ecefe,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter8.html,Website/lab/filter8.html,DeploymentTargetRecord[0].files[20],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=14a62748bd5b622a37a74c0e99db63e4aef9a92963bd4a1b72ea9d14d257f90e,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,filter9.html,Website/lab/filter9.html,DeploymentTargetRecord[0].files[21],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=e3559deadb2ce162c9729d84a7f43cbd455c4eb34e1ca6ff521c32e22cbf8f12,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ops-manager-design.html,Website/ops-manager-design.html,DeploymentTargetRecord[0].files[22],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=2a8f49d01ba69c47acb727b423ded2238cac4e52484face9e435b821cc242fd5,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,privacy.html,Website/privacy.html,DeploymentTargetRecord[0].files[23],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=ea57a1076dd29897692b8adc74b278d6f838c2c3d9248e2d60b32041d78e4de9,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,products.html,Website/products.html,DeploymentTargetRecord[0].files[24],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=e4174f3bfa3e0d374a3b6fa16538b2db284424320b39c95ce23ae3f6dd6983f1,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,provider-data-load.html,Website/provider-data-load.html,DeploymentTargetRecord[0].files[25],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=d05c0b0f27069b8c2cf0c38fa4bd7396a562b790fa3d73a6c7f4377810093f13,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyAgileBacklogSchema.json,Website/schemas/ChatHealthyAgileBacklogSchema.json,DeploymentTargetRecord[0].files[26],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=dd9f17d8ad5dbcaeabb3c0e35d6afbe4db9f826b3a79252f80e03062d2e0a2cc,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyBugsSchema.json,Website/schemas/ChatHealthyBugsSchema.json,DeploymentTargetRecord[0].files[27],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=d8c700e9d6754b04615dad0bd4a1551d6848ae23a48c5c0420e08cb506b757c4,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyBuildPackageManifestSchema.json,Website/schemas/ChatHealthyBuildPackageManifestSchema.json,DeploymentTargetRecord[0].files[28],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=adc9b18a2f9fdf562cce4ebd1afe597a7cea1c7f2333c5e1ed9c99e486c0b18f,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyDBVersionsSchema.json,Website/schemas/ChatHealthyDBVersionsSchema.json,DeploymentTargetRecord[0].files[29],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=2d0de60630de1e9a8f4e11f768e51cda49ee457baa34cad81b55e7e3dbdcbe05,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyDeploymentArchitectureSchema.json,Website/schemas/ChatHealthyDeploymentArchitectureSchema.json,DeploymentTargetRecord[0].files[30],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=33e87921dcdee2cfb4479d547ac0062c7f8bdf41816ff43a335ddfa03d945ad4,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyErrorsSchema.json,Website/schemas/ChatHealthyErrorsSchema.json,DeploymentTargetRecord[0].files[31],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=14242dd3f4d56834cd9123ba1e928410e20188c54078e17a81e57dce1eef3ce4,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyLogsSchema.json,Website/schemas/ChatHealthyLogsSchema.json,DeploymentTargetRecord[0].files[32],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=9bfaa48f57b6d2b26687bad2c307c56a4efa6ec4cf66019ff2023491485abea6,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyProvidersSchema.json,Website/schemas/ChatHealthyProvidersSchema.json,DeploymentTargetRecord[0].files[33],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=bf2a8f321ffc5d200ad808138de559c32e6663441719a0075249b6b975fb4d40,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyRelaxedSchema.json,Website/schemas/ChatHealthyRelaxedSchema.json,DeploymentTargetRecord[0].files[34],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=5b6e7d6a3d0d22bd7ad5b87068690fb8e244d2ce08e65407a817bdc3d0288605,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyRiskAcceptanceSchema.json,Website/schemas/ChatHealthyRiskAcceptanceSchema.json,DeploymentTargetRecord[0].files[35],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=0344d71178c6a4c233697210d5baa807f91aefb9eadb85f13d5fd7e099e59489,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyUserStateSchema.json,Website/schemas/ChatHealthyUserStateSchema.json,DeploymentTargetRecord[0].files[36],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=f29545827920666c9f955eb5c4ff8335ac75c2cd2f036fccb9b63345f067218d,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyUtteranceManagerOutputSchema.json,Website/schemas/ChatHealthyUtteranceManagerOutputSchema.json,DeploymentTargetRecord[0].files[37],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=0a4c0491fb68a5f511ed1c00ac6dd638c8299361fdeaca52fc50f149da916b28,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,ChatHealthyVersionSchema.json,Website/schemas/ChatHealthyVersionSchema.json,DeploymentTargetRecord[0].files[38],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=a763e3802b3cc84ead002bda1ce8aaf897ff0ee7dc84821e7b73e7bab86a32e3,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,EngineeringRulesSchema.json,Website/schemas/EngineeringRulesSchema.json,DeploymentTargetRecord[0].files[39],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=0fe50235fbe3fca101b84c62c8b11eeab2bde15ca4d201cc51125c359421effe,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,JsonValidationFixtureSchema.json,Website/schemas/JsonValidationFixtureSchema.json,DeploymentTargetRecord[0].files[40],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=4bc465c77a6d53be029e303863ae8ebde06a2694041c2f4059051ff592321d92,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,EngineeringRulesSchema.json,Website/schemas/dev/EngineeringRulesSchema.json,DeploymentTargetRecord[0].files[41],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=8b6734368403609d4e3e4c1460367fde7c418da5167da4891a49d61155541f2c,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,json-schema-2020-12-meta.json,Website/schemas/standard/json-schema-2020-12-meta.json,DeploymentTargetRecord[0].files[42],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|json|content_hash=41da76f5afb7ce062d248f762463a92f7ca47e4e0f905b224ba6afeef91ded0f,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,security-architecture.html,Website/security-architecture.html,DeploymentTargetRecord[0].files[43],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=48b3664238dbdea0b133a38737f581ab3676594fe18e891a0f5cc6772732ed37,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,terms.html,Website/terms.html,DeploymentTargetRecord[0].files[44],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|static_asset|content_hash=5df2f2bcbbd31f209f618e86ced3e1c52e558cd6b4af1195852b4d5d2fb4fe7d,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,conftest.py,Website/tests/conftest.py,DeploymentTargetRecord[0].files[45],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|python_test|content_hash=a635218d71c7144fd3de44553dd88781d84d8bfc5325b8dcc650b9e48435aaab,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,test_website.py,Website/tests/test_website.py,DeploymentTargetRecord[0].files[46],Source file composition for target_cloudflare_pages_website,target_cloudflare_pages_website,EPIC-008-F-012|referenced|python_test|content_hash=7018cd20bc72d0341bd35a2e9cb343f97324177ce6fcc7066b26653fcbc7f57b,,Build/deploy copies bytes from git tree at source_location (Extractor)
secret,CLOUDFLARE_ACCOUNT_ID,Code/.env,DeploymentTargetRecord[0].secrets.CLOUDFLARE_ACCOUNT_ID,Secret key for target_cloudflare_pages_website runtime (value never in JSON),target_cloudflare_pages_website,local_env,local_env,"SecretsResolver.resolve(name, env) -> read key from Code/.env via _read_env_file"
secret,CLOUDFLARE_API_TOKEN,Code/.env,DeploymentTargetRecord[0].secrets.CLOUDFLARE_API_TOKEN,Secret key for target_cloudflare_pages_website runtime (value never in JSON),target_cloudflare_pages_website,local_env,local_env,"SecretsResolver.resolve(name, env) -> read key from Code/.env via _read_env_file"
entitlement,cloudflare_api_token_scope,brain/machine_artifacts/content/deployment_architecture.json,DeploymentTargetRecord[0].entitlements[0],Access grant for target_cloudflare_pages_website,target_cloudflare_pages_website,"{""kind"":""cloudflare_api_token_scope"",""account"":""ChatHealthyLLC"",""scopes"":[""Account:Cloudflare Pages:Edit"",""Account:Account Settings:Read""]}",,Deploy provisions role/membership per entitlements[] inventory
target_record,target_hf_space_evaluatecare_backend,brain/machine_artifacts/content/deployment_architecture.json,DeploymentTargetRecord[1].target_id,Target identity; kind=hf_space,target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,,RecordLoader.load_collection(deployment_architecture.json)
environment,dev,brain/machine_artifacts/content/deployment_architecture.json,DeploymentTargetRecord[1].environments[0].node_address,Runtime binding for target_hf_space_evaluatecare_backend in env dev,target_hf_space_evaluatecare_backend,dev.chathealthy.ai/evaluatecare,,LocalDeploy/build reads node_address for env_binding from RecordLoader
environment,qa,brain/machine_artifacts/content/deployment_architecture.json,DeploymentTargetRecord[1].environments[1].node_address,Runtime binding for target_hf_space_evaluatecare_backend in env qa,target_hf_space_evaluatecare_backend,qa.chathealthy.ai/evaluatecare,,LocalDeploy/build reads node_address for env_binding from RecordLoader
environment,prod,brain/machine_artifacts/content/deployment_architecture.json,DeploymentTargetRecord[1].environments[2].node_address,Runtime binding for target_hf_space_evaluatecare_backend in env prod,target_hf_space_evaluatecare_backend,chathealthy.ai/evaluatecare,,LocalDeploy/build reads node_address for env_binding from RecordLoader
file,ca.crt,Code/Shared/ops/certs/ca.crt,DeploymentTargetRecord[1].files[0],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|cert_or_key|content_hash=33fc90235b5601dfd0be4bcbd45d2534c031fc1ec2dd6b22cecd94fcd989e74a,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,evalcare.crt,Code/Shared/ops/certs/evalcare.crt,DeploymentTargetRecord[1].files[1],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|cert_or_key|content_hash=f52e9e7a2c4d905aa17cf23b9bd45f457ae3ff352bfafd5e89f902df8fe91334,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,findcare.crt,Code/Shared/ops/certs/findcare.crt,DeploymentTargetRecord[1].files[2],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|cert_or_key|content_hash=e0af9e2fb0e8ed8ba9f178aa18cb121e328fcd27c05d0645a9aa4d39a6f44f66,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,shared.crt,Code/Shared/ops/certs/shared.crt,DeploymentTargetRecord[1].files[3],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|cert_or_key|content_hash=09b2cf01c5a66bd3754db49ed21d372cf886e0ae69cc53f172335c443f6ad04d,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,EPIC-003-F-003-Manage-Errors-design-v5.docx,ChatHealthyLib/architectureAndDesign/EPIC-003-F-003-Manage-Errors-design-v5.docx,DeploymentTargetRecord[1].files[4],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|static_asset|content_hash=48458c634bd0a138b420ec1ba75c653d61d66b0fe64e84cf3c25c5dcb2602a2b,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,EPIC-003-F-005-Manage-Logging-design-v10.docx,ChatHealthyLib/architectureAndDesign/EPIC-003-F-005-Manage-Logging-design-v10.docx,DeploymentTargetRecord[1].files[5],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|static_asset|content_hash=165c6dcb38dfe623670a06d8689b26b535226b67aca3a76b5c5f64a02734442c,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,EPIC-003-F-005-Manage-Logging-design-v9.docx,ChatHealthyLib/architectureAndDesign/EPIC-003-F-005-Manage-Logging-design-v9.docx,DeploymentTargetRecord[1].files[6],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|static_asset|content_hash=78a9bedb1e1aa96f4684d1573317ad977c1e130a73ca62905a1980ee0c672efa,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,pyproject.toml,ChatHealthyLib/pyproject.toml,DeploymentTargetRecord[1].files[7],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|static_asset|content_hash=7c634e1b53d75861f1f9349426b8b295e65be491d6c37975e77be2b0f8d6f662,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,__init__.py,ChatHealthyLib/src/chathealthy_lib/__init__.py,DeploymentTargetRecord[1].files[8],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=a5b452a7dcff6284533d608ac711e6a62e4c3fc2d23ee2302683cf82514092ea,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,__init__.py,ChatHealthyLib/src/chathealthy_lib/authentication/__init__.py,DeploymentTargetRecord[1].files[9],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=edd3fb01c35e99b0388d815fa0fe859d98ebe013d3a5036d3333d0ad1a2d8f6c,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,auth_token.py,ChatHealthyLib/src/chathealthy_lib/authentication/auth_token.py,DeploymentTargetRecord[1].files[10],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=75c919dcb0061622237c59d1fad4d37a831d85cada6fd0894acbf9265080a7a8,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,nonce.py,ChatHealthyLib/src/chathealthy_lib/authentication/nonce.py,DeploymentTargetRecord[1].files[11],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=9442f058411b66765e8ac3f885cf8414b1f3fc7f592032c63d1db8665a82bead,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,session_token.py,ChatHealthyLib/src/chathealthy_lib/authentication/session_token.py,DeploymentTargetRecord[1].files[12],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=c095aa033ac743a08d0b09426179c0147cd51f2b4087c5408f2b672cb51d2264,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,exceptions.py,ChatHealthyLib/src/chathealthy_lib/exceptions.py,DeploymentTargetRecord[1].files[13],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=80e9ac7a0060ef3a885a5cee017ba08a819b4dffd72414ed0fcf4438f39d224e,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,geo_extractor.py,ChatHealthyLib/src/chathealthy_lib/geo_extractor.py,DeploymentTargetRecord[1].files[14],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=78b287983661edb8c4f7b4e4a86c8477bf1d766b0980814e10ce4145d37cd644,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,llm.py,ChatHealthyLib/src/chathealthy_lib/llm.py,DeploymentTargetRecord[1].files[15],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=d8b69912ed74923c943b5fdb7c26ccf592f7864d5c1748076668b407f8e1f1b7,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,logging_service.py,ChatHealthyLib/src/chathealthy_lib/logging_service.py,DeploymentTargetRecord[1].files[16],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=ef61ddef196553a8dfa3d985c1c72d417b65dad7bc0647f0cc81daf7e0e15513,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,mongo_utilities.py,ChatHealthyLib/src/chathealthy_lib/mongo_utilities.py,DeploymentTargetRecord[1].files[17],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=3c99f6bdc7c1e6bc478ba4b2552123dd97b47df9c6cebe8da55676635951bf2a,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,provider_embedding.py,ChatHealthyLib/src/chathealthy_lib/provider_embedding.py,DeploymentTargetRecord[1].files[18],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=a295f7bb8f822b9fb297dc993bea408b148442d3f42ef0b89d83737dcad2cef7,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,runtime_data_collections.py,ChatHealthyLib/src/chathealthy_lib/runtime_data_collections.py,DeploymentTargetRecord[1].files[19],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=c9d6efe112b0724f42a11a806d3b26e89083c44d6ab35068242a53d932937cde,,Build/deploy copies bytes from git tree at source_location (Extractor)
file,__init__.py,ChatHealthyLib/src/chathealthy_lib/user/__init__.py,DeploymentTargetRecord[1].files[20],Source file composition for target_hf_space_evaluatecare_backend,target_hf_space_evaluatecare_backend,EPIC-008-F-012|referenced|python_source|content_hash=81f195df829e1bc1b6abf67738c2baf0f3cb574637c6f9fd3aeefc0e73f8b8fe,,Build/deploy copies bytes from git tree at source_location (Extractor)
